"","x"
"1","Strike_R"
"2","Strike_R"
"3","Strike_R"
"4","Strike_R"
"5","Strike_R"
"6","Strike_R"
"7","Strike_R"
"8","Strike_R"
"9","Strike_R"
"10","Strike_R"
"11","Strike_R"
"12","Strike_R"
"13","Strike_R"
"14","Strike_R"
"15","Strike_R"
"16","Strike_R"
"17","Strike_R"
"18","Strike_R"
"19","Strike_R"
"20","Strike_R"
"21","Strike_R"
"22","Strike_R"
"23","Strike_R"
"24","Strike_R"
"25","Strike_R"
"26","Strike_R"
"27","Strike_R"
"28","Strike_R"
"29","Strike_R"
"30","Strike_R"
"31","Strike_R"
"32","Strike_R"
"33","Strike_R"
"34","Strike_R"
"35","Strike_R"
"36","Strike_R"
"37","Strike_R"
"38","Strike_R"
"39","Strike_R"
"40","Strike_R"
"41","Strike_R"
"42","Strike_R"
"43","Strike_R"
"44","Strike_R"
"45","Strike_R"
"46","Strike_R"
"47","Strike_R"
"48","Strike_R"
"49","Strike_R"
"50","Strike_R"
"51","Strike_R"
"52","Strike_R"
"53","Strike_R"
"54","Strike_R"
"55","Strike_R"
"56","Strike_R"
"57","Strike_R"
"58","Strike_R"
"59","Strike_R"
"60","Strike_R"
"61","Strike_R"
"62","Strike_R"
"63","Defend_R"
"64","Strike_R"
"65","Strike_R"
"66","Strike_R"
"67","Strike_R"
"68","Defend_R"
"69","Strike_R"
"70","Strike_R"
"71","Strike_R"
"72","Strike_R"
"73","Strike_R"
"74","Strike_R"
"75","Strike_R"
"76","Strike_R"
"77","Strike_R+1"
"78","Strike_R+1"
"79","Strike_R"
"80","Strike_R"
"81","Strike_R"
"82","Strike_R"
"83","Defend_R+1"
"84","Strike_R"
"85","Strike_R"
"86","Strike_R"
"87","Strike_R"
"88","Strike_R"
"89","Strike_R"
"90","Strike_R"
"91","Strike_R"
"92","Strike_R+1"
"93","Strike_R"
"94","Strike_R+1"
"95","Strike_R"
"96","Strike_R+1"
"97","Defend_R"
"98","Strike_R"
"99","Strike_R"
"100","Strike_R+1"
"101","Strike_R"
"102","Strike_R"
"103","Strike_R"
"104","Strike_R"
"105","Strike_R"
"106","Strike_R"
"107","Strike_R"
"108","Strike_R"
"109","Strike_R"
"110","Strike_R"
"111","Strike_R"
"112","Bash"
"113","Strike_R"
"114","Strike_R+1"
"115","Strike_R"
"116","Strike_R+1"
"117","Strike_R"
"118","Strike_R"
"119","Strike_R"
"120","Strike_R"
"121","Strike_R"
"122","Strike_R"
"123","Strike_R"
"124","Strike_R"
"125","Strike_R"
"126","Strike_R"
"127","Strike_R"
"128","Strike_R"
"129","Strike_R"
"130","Strike_R"
"131","Strike_R+1"
"132","Strike_R"
"133","Strike_R"
"134","Strike_R"
"135","Strike_R"
"136","Strike_R"
"137","Strike_R"
"138","Strike_R"
"139","Strike_R"
"140","Strike_R"
"141","Strike_R"
"142","Strike_R"
"143","Strike_R"
"144","Strike_R"
"145","Strike_R"
"146","Strike_R"
"147","Strike_R+1"
"148","Strike_R+1"
"149","Strike_R+1"
"150","Strike_R"
"151","Strike_R"
"152","Strike_R"
"153","Strike_R"
"154","Strike_R+1"
"155","Strike_R"
"156","Strike_R"
"157","Strike_R+1"
"158","Strike_R"
"159","Strike_R"
"160","Strike_R"
"161","Strike_R+1"
"162","Strike_R"
"163","Strike_R+1"
"164","Strike_R"
"165","Strike_R+1"
"166","Strike_R"
"167","Strike_R"
"168","Strike_R+1"
"169","Strike_R"
"170","Strike_R"
"171","Strike_R"
"172","Defend_R+1"
"173","Strike_R"
"174","Strike_R+1"
